Date,Open,High,Low,Close,Change(Pips),Change(%)
02/05/2025 00:00,1.03721,1.04427,1.03696,1.04023,30.2,0.29,
02/04/2025 00:00,1.0337,1.03877,1.02721,1.03715,34.5,0.33,
02/03/2025 00:00,1.02472,1.03504,1.02106,1.0328,80.8,0.78,
02/02/2025 00:00,1.02385,1.02705,1.02348,1.02471,8.6,0.08,
01/31/2025 00:00,1.03809,1.04338,1.03498,1.03585,-22.4,-0.22,
01/30/2025 00:00,1.04245,1.04675,1.0381,1.03972,-27.3,-0.26,
01/29/2025 00:00,1.04275,1.04441,1.03827,1.04245,-3.0,-0.03,
01/28/2025 00:00,1.04374,1.04562,1.04137,1.04276,-9.8,-0.09,
01/27/2025 00:00,1.04792,1.05328,1.04289,1.04363,-42.9,-0.41,
01/26/2025 00:00,1.04794,1.04852,1.0465,1.04675,-11.9,-0.11,
01/24/2025 00:00,1.04155,1.05217,1.04117,1.04966,81.1,0.77,
01/23/2025 00:00,1.04028,1.04378,1.0372,1.0416,13.2,0.13,
01/22/2025 00:00,1.04255,1.04576,1.03923,1.04078,-17.7,-0.17,
01/21/2025 00:00,1.04211,1.04353,1.0342,1.04054,-15.7,-0.15,
01/20/2025 00:00,1.02776,1.04343,1.02664,1.04211,143.5,1.38,
01/19/2025 00:00,1.02755,1.02804,1.02661,1.02802,4.7,0.05,
01/17/2025 00:00,1.03015,1.03306,1.01216,1.01216,-179.9,-1.78,
01/16/2025 00:00,1.02827,1.03154,1.02605,1.03019,19.2,0.19,
01/15/2025 00:00,1.03059,1.0354,1.02591,1.02953,-10.6,-0.10,
01/14/2025 00:00,1.02638,1.03085,1.02384,1.03059,42.1,0.41,
01/13/2025 00:00,1.02431,1.02776,1.01777,1.02642,21.1,0.21,
01/12/2025 00:00,1.02295,1.02471,1.02295,1.02432,13.7,0.13,
01/10/2025 00:00,1.02967,1.03121,1.02147,1.02441,-52.6,-0.51,
01/09/2025 00:00,1.03134,1.03216,1.02834,1.02964,-17.0,-0.17,
01/08/2025 00:00,1.03415,1.03577,1.02733,1.03134,-28.1,-0.27,
01/07/2025 00:00,1.03833,1.04346,1.03379,1.03412,-42.1,-0.41,
01/06/2025 00:00,1.03049,1.04368,1.02953,1.03831,78.2,0.75,
01/05/2025 00:00,1.0302,1.03083,1.02941,1.03052,3.2,0.03,
01/03/2025 00:00,1.02678,1.03084,1.02643,1.03081,40.3,0.39,
01/02/2025 00:00,1.03509,1.03756,1.02249,1.02678,-83.1,-0.81,
01/01/2025 00:00,1.03517,1.03572,1.03463,1.03509,-0.8,-0.01,
12/31/2024 00:00,1.04059,1.04246,1.0344,1.03561,-49.8,-0.48,
12/30/2024 00:00,1.04303,1.04585,1.03715,1.04056,-24.7,-0.24,
12/29/2024 00:00,1.04266,1.0434,1.04243,1.04292,2.6,0.02,
12/27/2024 00:00,1.04221,1.04442,1.04049,1.04254,3.3,0.03,
12/26/2024 00:00,1.03992,1.043,1.03904,1.04221,22.9,0.22,
12/25/2024 00:00,1.04068,1.0422,1.03903,1.03988,-8.0,-0.08,
12/24/2024 00:00,1.03997,1.04103,1.03832,1.03921,-7.6,-0.07,
12/23/2024 00:00,1.0434,1.04455,1.03841,1.04043,-29.7,-0.29,
12/22/2024 00:00,1.04247,1.04443,1.04247,1.04335,8.8,0.08,
12/20/2024 00:00,1.03642,1.04477,1.0343,1.04314,67.2,0.64,
12/19/2024 00:00,1.03504,1.04224,1.03504,1.03643,13.9,0.13,
12/18/2024 00:00,1.04946,1.0513,1.03443,1.03506,-144.0,-1.39,
12/17/2024 00:00,1.05165,1.05342,1.04789,1.04946,-21.9,-0.21,
12/16/2024 00:00,1.05097,1.05246,1.04742,1.0517,7.3,0.07,
12/15/2024 00:00,1.04856,1.0511,1.04831,1.05095,23.9,0.23,
12/13/2024 00:00,1.04736,1.05241,1.04529,1.04969,23.3,0.22,
12/12/2024 00:00,1.04809,1.05212,1.04639,1.0474,-6.9,-0.07,
12/11/2024 00:00,1.04886,1.05065,1.04881,1.05054,16.8,0.16,
12/10/2024 00:00,1.0554,1.05681,1.04981,1.0531,-23,-0.22,
12/09/2024 00:00,1.05659,1.05947,1.05322,1.05543,-11.6,-0.11,
12/08/2024 00:00,1.05546,1.05696,1.05543,1.05659,11.3,0.11,
12/05/2024 00:00,1.05127,1.05895,1.05081,1.05866,73.9,0.70,
12/04/2024 00:00,1.05104,1.05438,1.0472,1.05121,1.7,0.02,
12/03/2024 00:00,1.05273,1.05351,1.04922,1.05103,-17.0,-0.16,
12/02/2024 00:00,1.05438,1.05465,1.0461,1.05006,-43.2,-0.41,
12/01/2024 00:00,1.05643,1.0569,1.05335,1.05441,-20.2,-0.19,
11/28/2024 00:00,1.05621,1.05628,1.05276,1.05604,-1.7,-0.02,
11/27/2024 00:00,1.04914,1.05878,1.04742,1.05619,70.5,0.67,
11/26/2024 00:00,1.04622,1.04919,1.04579,1.04919,29.7,0.28,
11/25/2024 00:00,1.04567,1.05302,1.04429,1.04439,-12.8,-0.12,
11/24/2024 00:00,1.04784,1.0501,1.04614,1.04794,1.0,0.01,
11/21/2024 00:00,1.05456,1.0555,1.04621,1.04691,-76.5,-0.73,
11/20/2024 00:00,1.06072,1.06099,1.05072,1.05456,-61.6,-0.58,
11/19/2024 00:00,1.05945,1.06082,1.05239,1.06077,13.2,0.12,
11/18/2024 00:00,1.05365,1.06074,1.053,1.05947,58.2,0.55,
11/17/2024 00:00,1.05291,1.05389,1.0528,1.0536,6.9,0.07,
11/14/2024 00:00,1.05659,1.05823,1.04967,1.05293,-36.6,-0.35,
11/13/2024 00:00,1.06168,1.06522,1.05558,1.05657,-51.1,-0.48,
11/12/2024 00:00,1.0663,1.0663,1.05947,1.06166,-46.4,-0.44,
11/11/2024 00:00,1.0672,1.06723,1.06285,1.06631,-8.9,-0.08,
11/10/2024 00:00,1.07097,1.07168,1.07063,1.0713,3.3,0.03,
11/08/2024 00:00,1.07952,1.07973,1.0686,1.07182,-77.0,-0.72,
11/07/2024 00:00,1.07239,1.0825,1.0711,1.0795,71.1,0.66,
11/06/2024 00:00,1.08372,1.0857,1.0682,1.0731,-106.2,-0.99,
